kernel,cache_region,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,runtime_scalar_median,runtime_scalar_var,runtime_simd_median,runtime_simd_var,speedup_median,speedup_var,gflops_scalar_median,gflops_scalar_var,gflops_simd_median,gflops_simd_var,validated,rtol,atol,abs_err,rel_err
SAXPY,L1_mid,3072,2.800000e-06,0.000000e+00,1.466667e-06,1.154701e-07,1.909,2.194,4.189,2.800000e-06,0.000000e+00,1.400000e-06,1.333333e-14,2.000,2.083333e-02,2.194,0.000000e+00,4.389,1.003102e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,L2_mid,84992,4.024000e-04,2.827667e-05,1.075333e-04,3.384144e-05,3.742,0.422,1.581,4.100000e-04,7.995700e-10,9.370000e-05,1.145243e-09,4.547,1.668215e+00,0.415,9.383053e-04,1.814,2.119232e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,L3_mid,1654784,2.896600e-03,1.441664e-03,2.138533e-03,5.742563e-04,1.354,1.143,1.548,2.288400e-03,2.078394e-06,1.909300e-03,3.297703e-07,1.199,8.188537e-02,1.446,2.889409e-01,1.733,1.490847e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
SAXPY,DRAM_mid,15728640,2.134070e-02,1.739071e-03,1.937347e-02,5.465654e-04,1.102,1.474,1.624,2.109590e-02,3.024366e-06,1.961970e-02,2.987337e-07,1.075,1.474690e-02,1.491,1.415976e-02,1.603,2.166255e-03,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,L1_mid,3072,5.200000e-06,0.000000e+00,1.400000e-06,0.000000e+00,3.714,1.182,4.389,5.200000e-06,0.000000e+00,1.400000e-06,0.000000e+00,3.714,0.000000e+00,1.182,0.000000e+00,4.389,0.000000e+00,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,L2_mid,84992,1.542333e-04,7.852600e-06,7.950000e-05,2.750055e-05,1.940,1.102,2.138,1.540000e-04,6.166333e-11,7.290000e-05,7.562800e-10,2.112,3.274554e-01,1.104,3.153437e-03,2.332,5.564567e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,L3_mid,1654784,3.394133e-03,2.764699e-04,1.917033e-03,3.504650e-04,1.771,0.975,1.726,3.431200e-03,7.643561e-08,1.927400e-03,1.228257e-07,1.614,1.145261e-01,0.965,6.613777e-03,1.717,1.095771e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,DRAM_mid,15728640,3.274867e-02,3.777464e-03,1.801813e-02,9.716061e-04,1.818,0.961,1.746,3.345470e-02,1.426924e-05,1.747300e-02,9.440184e-07,1.918,8.722229e-02,0.940,1.346018e-02,1.800,8.368024e-03,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,L1_mid,2048,1.900000e-06,0.000000e+00,1.100000e-06,0.000000e+00,1.727,1.078,1.862,1.900000e-06,0.000000e+00,1.100000e-06,0.000000e+00,1.727,0.000000e+00,1.078,0.000000e+00,1.862,0.000000e+00,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,L2_mid,56661,7.323333e-05,4.173875e-05,4.516667e-05,4.579665e-06,1.621,0.774,1.254,5.060000e-05,1.742123e-09,4.370000e-05,2.097333e-11,1.219,5.316964e-01,1.120,1.585240e-01,1.297,1.512074e-02,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,L3_mid,1103189,1.864933e-03,6.098068e-05,1.737933e-03,2.688632e-04,1.073,0.592,0.635,1.886500e-03,3.718643e-09,1.763500e-03,7.228744e-08,1.084,2.046579e-02,0.585,3.864615e-04,0.626,1.065315e-02,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,DRAM_mid,10485760,2.092533e-02,3.263908e-03,1.802930e-02,6.321482e-04,1.161,0.501,0.582,2.202720e-02,1.065310e-05,1.799150e-02,3.996113e-07,1.258,3.047551e-02,0.476,7.385195e-03,0.583,4.144165e-04,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,L1_mid,3072,4.033333e-06,5.773503e-08,2.633333e-06,5.773503e-08,1.532,2.285,3.500,4.000000e-06,3.333333e-15,2.600000e-06,3.333333e-15,1.538,1.325747e-04,2.304,1.052631e-03,3.545,5.744992e-03,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,L2_mid,84992,1.007000e-04,9.750897e-06,5.590000e-05,5.467175e-06,1.801,2.532,4.561,9.610000e-05,9.508000e-11,5.460000e-05,2.989000e-11,1.760,1.135441e-01,2.653,5.488467e-02,4.670,1.900862e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,L3_mid,1654784,2.462567e-03,3.506988e-04,2.247733e-03,9.689350e-04,1.096,2.016,2.209,2.348900e-03,1.229896e-07,1.740300e-03,9.388350e-07,1.333,8.091109e-02,2.113,7.567897e-02,2.853,7.247904e-01,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,DRAM_mid,15728640,2.361453e-02,1.277500e-03,1.941070e-02,5.283915e-04,1.217,1.998,2.431,2.361500e-02,1.632006e-06,1.953450e-02,2.791976e-07,1.209,1.154392e-03,1.998,1.176587e-02,2.416,4.465892e-03,1,1e-05,1e-07,0.000e+00,0.000e+00
