pattern,op,label,N,stride,gather_mode,frac,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,useful_elems
strided,SAXPY,unit-stride,32000000,1,0,1.0,0.0244829,0.00011636997035317941,0.0190624,0.0007222082594376769,1.2843555900621118,32000000
strided,Dot,unit-stride,32000000,1,0,1.0,0.05774206666666667,0.0001133552086731512,0.0185722,0.001345468026375951,3.1090590595980374,32000000
strided,ElemMul,unit-stride,32000000,1,0,1.0,0.028273066666666666,0.0002870609052680877,0.027421266666666666,0.0009494433439301869,1.0310634811423738,32000000
strided,Stencil,unit-stride,32000000,1,0,1.0,0.038905866666666664,0.0005384684422817486,0.019720233333333333,0.0006673734661591915,1.9728907872962962,32000000
strided,SAXPY,stride-2,32000000,2,0,1.0,0.020216666666666668,0.0006575056983276518,0.0206856,0.000774552264214623,0.9773304456562376,16000000
strided,Dot,stride-2,32000000,2,0,1.0,0.029765366666666664,2.0632337078802718e-05,0.030297733333333333,0.000456954421505399,0.9824288285592321,16000000
strided,ElemMul,stride-2,32000000,2,0,1.0,0.0259114,0.000279904680203816,0.025821533333333334,0.0005437264232436499,1.0034802993883658,16000000
strided,Stencil,stride-2,32000000,2,0,1.0,0.021920466666666666,0.000438618972837854,0.021420466666666665,0.00011307432658801601,1.0233421618576626,16000000
strided,SAXPY,stride-8,32000000,8,0,1.0,0.0204558,0.00030846737266686654,0.0206666,0.0006228065751098017,0.9897999670966681,4000000
strided,Dot,stride-8,32000000,8,0,1.0,0.01914446666666667,0.0011416483010688256,0.0199888,0.0014926004924292352,0.9577596787534353,4000000
strided,ElemMul,stride-8,32000000,8,0,1.0,0.027950033333333332,0.000478345422611456,0.029075766666666666,0.00044638813081592215,0.9612827635384793,4000000
strided,Stencil,stride-8,32000000,8,0,1.0,0.018228333333333332,0.0009313319995218316,0.0194813,0.00011566792986822185,0.9356836213873475,4000000
strided,SAXPY,stride-32,32000000,32,0,1.0,0.0231452,8.811424402444882e-05,0.022683133333333334,9.826298048264831e-05,1.020370495551761,1000000
strided,Dot,stride-32,32000000,32,0,1.0,0.0206655,0.0007410459567395258,0.0210808,0.0005340295778325392,0.9802996091229934,1000000
strided,ElemMul,stride-32,32000000,32,0,1.0,0.032358700000000004,0.0018114032875094395,0.03308936666666667,0.0005250704174997242,0.9779183846573068,1000000
strided,Stencil,stride-32,32000000,32,0,1.0,0.021889666666666665,6.82385033051972e-05,0.0221575,0.0004323534086832195,0.9879122945578998,1000000
gather:gather-blocked,SAXPY,gather-blocked,32000000,1,1,0.5,0.020433166666666665,0.0011560181760393448,0.0205448,0.000550616672468243,0.9945663460664824,16000000
gather:gather-blocked,Dot,gather-blocked,32000000,1,1,0.5,0.020518033333333335,0.0003516075842943866,0.019862533333333335,0.0011202847599308548,1.0330018325960435,16000000
gather:gather-blocked,ElemMul,gather-blocked,32000000,1,1,0.5,0.0282965,0.0007093516405845565,0.030025600000000003,0.0014102733352084633,0.9424124746882658,16000000
gather:gather-blocked,Stencil,gather-blocked,32000000,1,1,0.5,0.02114306666666667,0.0001913717934632298,0.022096133333333334,0.0006071293217538845,0.9568672648608204,16000000
gather:gather-random,SAXPY,gather-random,32000000,1,2,0.5,1.04587,0.012536821766300998,1.05296,0.011279020347530193,0.9932666008205442,16000000
gather:gather-random,Dot,gather-random,32000000,1,2,0.5,0.969122,0.005600969291113817,0.992045,0.007836483203580538,0.9768931852889738,16000000
gather:gather-random,ElemMul,gather-random,32000000,1,2,0.5,1.8347966666666666,0.040034523018681496,1.8347933333333333,0.007977758666024667,1.0000018167350364,16000000
gather:gather-random,Stencil,gather-random,32000000,1,2,0.5,1.08092,0.0180200582684963,1.0786533333333332,0.003370168146151361,1.0021013856784386,16000000
