pattern,stride,runtime_mean_ms,runtime_std_ms,missrate_mean,missrate_std
stride,1,16.5976,0.4218,0.350017,0.017771
stride,2,11.0508,0.2304,0.416380,0.003807
stride,4,9.6419,0.3147,0.494277,0.010713
stride,8,10.4915,0.4640,0.548612,0.006867
stride,16,11.4046,0.4607,0.617097,0.005785
stride,32,11.3291,0.2314,0.656894,0.011299
stride,64,6.0069,0.2094,0.540296,0.008173
stride,128,3.0550,0.1649,0.438978,0.005723
stride,256,1.6390,0.0997,0.380732,0.006004
stride,512,0.8053,0.0196,0.332333,0.006679
stride,1024,0.4769,0.0315,0.309070,0.006822
stride,2048,0.2563,0.0217,0.301221,0.006785
stride,4096,0.1301,0.0016,0.297045,0.004180
random,random,1360.4700,32.6166,0.691151,0.018825
