huge,pages,runtime_mean_ms,runtime_std_ms,gflops_mean,gflops_std,mpku_mean,mpku_std,thp_effective_rate
off,64,480.2702,18.6100,0.2085,0.0080,0.000000,0.000000,0.00
off,128,484.3094,19.6540,0.2068,0.0085,0.000000,0.000000,0.00
off,256,606.0364,8.0900,0.1650,0.0022,0.000000,0.000000,0.00
off,512,702.6100,52.4205,0.1429,0.0098,0.000000,0.000000,0.00
off,1024,691.2290,9.8543,0.1447,0.0021,0.000000,0.000000,0.00
off,2048,1268.8140,93.6567,0.0791,0.0057,0.000000,0.000000,0.00
off,4096,1554.9660,109.5257,0.0646,0.0043,0.000000,0.000000,0.00
off,8192,1726.0340,42.5551,0.0580,0.0014,0.000000,0.000000,0.00
off,16384,1803.4980,19.6753,0.0554,0.0006,0.000000,0.000000,0.00
off,32768,2029.0840,76.1228,0.0493,0.0018,0.000000,0.000000,0.00
off,65536,2222.9040,28.5364,0.0449,0.0006,0.000000,0.000000,0.00
off,131072,2841.0620,5.2351,0.0352,0.0001,0.000000,0.000000,0.00
on,64,465.1000,2.1536,0.2150,0.0010,0.000000,0.000000,0.00
on,128,532.1466,90.8389,0.1916,0.0267,0.000000,0.000000,0.00
on,256,640.4386,95.8683,0.1585,0.0200,0.000000,0.000000,0.00
on,512,685.4304,32.3689,0.1461,0.0065,0.000000,0.000000,0.00
on,1024,712.2590,16.0541,0.1405,0.0032,0.000000,0.000000,0.00
on,2048,1213.2840,45.5338,0.0825,0.0031,0.000000,0.000000,0.00
on,4096,1546.4540,89.6186,0.0648,0.0037,0.000000,0.000000,0.00
on,8192,1665.2980,5.6393,0.0600,0.0002,0.000000,0.000000,0.00
on,16384,1849.1960,108.8049,0.0542,0.0030,0.000000,0.000000,0.00
on,32768,2028.6420,79.5697,0.0493,0.0019,0.000000,0.000000,0.00
on,65536,2240.2360,10.8033,0.0446,0.0002,0.000000,0.000000,0.00
on,131072,2896.4040,109.1050,0.0345,0.0012,0.000000,0.000000,0.00
