rep,size_bytes,size_label,latency_ns
1,20971520,20.0 MiB,62.60
1,8192,8.0 KiB,2.10
1,4194304,4.0 MiB,37.30
1,1048576,1.0 MiB,7.80
1,33554432,32.0 MiB,104.50
1,134217728,128.0 MiB,131.90
1,262144,256.0 KiB,6.00
1,32768,32.0 KiB,2.10
1,8388608,8.0 MiB,36.70
1,67108864,64.0 MiB,123.60
1,268435456,256.0 MiB,129.80
2,20971520,20.0 MiB,61.40
2,32768,32.0 KiB,2.10
2,8192,8.0 KiB,2.10
2,67108864,64.0 MiB,124.50
2,8388608,8.0 MiB,38.70
2,1048576,1.0 MiB,7.80
2,33554432,32.0 MiB,101.80
2,4194304,4.0 MiB,36.70
2,134217728,128.0 MiB,127.00
2,268435456,256.0 MiB,128.90
2,262144,256.0 KiB,6.10
3,20971520,20.0 MiB,61.30
3,33554432,32.0 MiB,94.80
3,32768,32.0 KiB,2.10
3,268435456,256.0 MiB,130.70
3,4194304,4.0 MiB,38.30
3,8192,8.0 KiB,2.10
3,1048576,1.0 MiB,8.60
3,262144,256.0 KiB,6.00
3,8388608,8.0 MiB,37.20
3,67108864,64.0 MiB,126.00
3,134217728,128.0 MiB,128.00
4,32768,32.0 KiB,2.20
4,1048576,1.0 MiB,9.30
4,262144,256.0 KiB,6.00
4,4194304,4.0 MiB,38.20
4,33554432,32.0 MiB,103.80
4,67108864,64.0 MiB,124.30
4,8192,8.0 KiB,2.10
4,20971520,20.0 MiB,60.60
4,134217728,128.0 MiB,127.60
4,268435456,256.0 MiB,129.00
4,8388608,8.0 MiB,36.60
5,262144,256.0 KiB,6.00
5,134217728,128.0 MiB,129.40
5,1048576,1.0 MiB,7.80
5,4194304,4.0 MiB,35.50
5,20971520,20.0 MiB,59.10
5,33554432,32.0 MiB,106.40
5,268435456,256.0 MiB,130.40
5,8192,8.0 KiB,2.20
5,32768,32.0 KiB,2.20
5,8388608,8.0 MiB,37.10
5,67108864,64.0 MiB,132.30
