blocksize,pattern,rw,rep,iops,mb_s,lat_avg_us,lat_p95_us,lat_p99_us
64k,sequential,read,1,1820.239325,113.7646484375,547.523071673,716.8,905.216
64k,sequential,read,2,1974.367521,123.3974609375,504.70640521300004,618.496,757.76
64k,sequential,read,3,1958.201393,122.38671875,509.07451640899995,626.688,774.144
128k,sequential,read,1,1149.261691,143.6572265625,868.184239595,1056.768,1286.144
128k,sequential,read,2,1146.69511,143.3359375,870.115894715,1044.48,1269.76
128k,sequential,read,3,1127.329089,140.916015625,885.000757577,1056.768,1253.376
4k,sequential,read,1,6397.253425,24.9892578125,155.078205363,205.824,276.48
4k,sequential,read,2,6394.520183,24.978515625,155.14024712000003,207.872,280.576
4k,sequential,read,3,6365.9878,24.8662109375,155.85663729799998,214.016,284.672
32k,sequential,read,1,4016.666111,125.5205078125,247.541254216,337.92,432.128
32k,sequential,read,2,4171.760941,130.3671875,238.39893767,317.44,419.84
32k,sequential,read,3,4250.158328,132.8173828125,233.973440604,325.632,428.032
16k,sequential,read,1,5841.338622,91.2705078125,169.93874551800002,244.736,325.632
16k,sequential,read,2,5887.370421,91.9892578125,168.63533088399998,232.448,313.344
16k,sequential,read,3,5857.438085,91.5224609375,169.487508641,240.64,325.632
256k,sequential,read,1,607.792814,151.947265625,1643.451298492,2007.04,2408.448
256k,sequential,read,2,600.71331,150.177734375,1662.4365016650002,2088.96,2473.984
256k,sequential,read,3,607.079764,151.76953125,1644.992528524,2039.808,2408.448
8k,sequential,read,1,6151.661611,48.0595703125,161.291800586,228.352,301.056
8k,sequential,read,2,6092.296923,47.595703125,162.9313236,226.304,296.96
8k,sequential,read,3,6194.426852,48.3935546875,160.250834954,220.16,292.864
4k,random,read,1,6221.825939,24.3037109375,159.43756226,218.112,292.864
4k,random,read,2,6275.224159,24.51171875,158.12717599799998,205.824,284.672
4k,random,read,3,6223.159228,24.30859375,159.344204445,216.064,292.864
256k,random,read,1,585.080497,146.26953125,1707.01674426,2113.536,2506.752
256k,random,read,2,585.080497,146.26953125,1706.868661254,2113.536,2441.216
256k,random,read,3,576.614113,144.1533203125,1731.395983236,2179.072,2637.824
64k,random,read,1,1772.107596,110.755859375,562.5742868990001,724.992,897.024
64k,random,read,2,1777.40742,111.087890625,560.8754394270001,724.992,897.024
64k,random,read,3,1749.075031,109.31640625,570.057246255,724.992,872.448
128k,random,read,1,1041.931936,130.2412109375,957.77902105,1220.608,1482.752
128k,random,read,2,1000.466651,125.0576171875,997.651222455,1253.376,1482.752
128k,random,read,3,1022.532582,127.81640625,975.928293575,1253.376,1548.288
8k,random,read,1,5480.617313,42.81640625,181.015427784,257.024,333.824
8k,random,read,2,4677.977401,36.5458984375,212.04243468899998,296.96,370.688
8k,random,read,3,4620.51265,36.09765625,214.664935118,284.672,350.208
32k,random,read,1,3515.949468,109.873046875,282.507958211,358.4,440.32
32k,random,read,2,3972.234259,124.1318359375,250.02964356299998,350.208,456.704
32k,random,read,3,4053.898203,126.68359375,245.212987584,342.016,460.8
16k,random,read,1,5532.748908,86.4482421875,179.391180832,244.736,325.632
16k,random,read,2,5629.479017,87.9599609375,176.28812719500002,240.64,325.632
16k,random,read,3,5524.149195,86.314453125,179.433394551,244.736,325.632
