blocksize,pattern,iops_mean,iops_std,mb_mean,mb_std,lat_mean_us,lat_std_us
64k,sequential,1917.6027463333332,84.70574233148089,119.849609375,5.293908022489032,520.4346644316666,23.560697230969105
128k,sequential,1141.0952966666666,11.990754340271234,142.63639322916666,1.498526273079392,874.4336306289999,9.20222537362653
4k,sequential,6385.920469333333,17.31621012293522,24.944661458333332,0.06815212258130512,155.35836326033333,0.43263154919906166
32k,sequential,4146.1951266666665,118.82702553202559,129.568359375,3.7134473163590878,239.97121083,6.919206870713973
16k,sequential,5862.0490426666665,23.359737321873535,91.59407552083333,0.364687368899041,169.353861681,0.6619052496160556
256k,sequential,605.195296,3.8978531211132195,151.29817708333334,0.9743927719390992,1650.2934428936667,10.544394470330133
8k,sequential,6146.128462,51.289301055662676,48.016276041666664,0.4006838833309438,161.49131971333333,1.3513366556719468
4k,random,6240.069775333333,30.451887184980492,24.374674479166668,0.11870892801578807,158.96964756766667,0.7310934821743846
256k,random,582.258369,4.888069081462776,145.56412760416666,1.2217949544276552,1715.09379625,14.11830221871757
64k,random,1766.1966823333335,15.062710310329921,110.38671875,0.9416675758920067,564.5023241936667,4.885119242546249
128k,random,1021.643723,20.746927911722665,127.705078125,2.5935895019878874,977.11951236,19.96277442805796
8k,random,4926.369121333333,480.8522048157838,38.486653645833336,3.756367723563512,202.57426586366665,18.716490099214386
32k,random,3847.3606433333334,289.90045755271746,120.2294921875,9.059240399532188,259.25019645266667,20.28528173850573
16k,random,5562.125706666667,58.48794812236375,86.90755208333333,0.9138644185859599,178.37090085933335,1.8038583930420622
