filter,neg_ratio,qps_mean,qps_std,achieved_fpr_mean,achieved_fpr_std,p50_ns_mean,p95_ns_mean,p99_ns_mean,p50_ns_std,p95_ns_std,p99_ns_std
bloom,0.0,25697310.0,551968.4601496722,0.0100492,9.751558280033428e-05,120.0,200.0,290.0,42.1637021355784,0.0,56.76462121975467
bloom,0.5,21307410.0,319237.66294791194,0.0100492,9.751558280033428e-05,130.0,190.0,220.0,48.3045891539648,31.622776601683793,63.24555320336759
bloom,0.9,18510700.0,213473.68299941163,0.0100492,9.751558280033428e-05,110.0,200.0,210.0,31.622776601683796,0.0,31.622776601683796
cuckoo,0.0,7712381.0,433672.2401755603,0.0069302,9.149353346912944e-05,210.0,430.0,570.0,31.622776601683796,94.86832980505137,170.29386365926402
cuckoo,0.5,8467103.0,432728.4648226619,0.0069302,9.149353346912944e-05,210.0,390.0,470.0,31.622776601683793,73.78647873726219,105.93499054713803
cuckoo,0.9,9426370.0,353248.21556520293,0.0069302,9.149353346912944e-05,200.0,370.0,450.0,0.0,94.86832980505137,97.18253158075501
quotient,0.0,13874840.0,1440682.9392880155,0.0018880000000000001,5.93632883186233e-05,150.0,310.0,820.0,52.70462766947299,99.44289260117532,1331.498737847276
quotient,0.5,12656450.0,835214.1126016064,0.0018880000000000001,5.93632883186233e-05,170.0,330.0,450.0,48.3045891539648,67.49485577105528,84.98365855987976
quotient,0.9,14181789.0,2968069.837844303,0.0018880000000000001,5.93632883186233e-05,160.0,330.0,410.0,69.9205898780101,94.86832980505137,87.55950357709132
xor,0.0,19715250.0,391339.6854964294,0.0038904,6.993679686370798e-05,110.0,210.0,260.0,31.622776601683793,31.622776601683796,84.32740427115678
xor,0.5,19613670.0,472738.23870439467,0.0038904,6.993679686370798e-05,110.0,170.0,230.0,31.622776601683796,48.3045891539648,48.3045891539648
xor,0.9,19487650.0,326061.5867184191,0.0038904,6.993679686370798e-05,100.0,200.0,210.0,0.0,115.47005383792515,110.05049346146117
